CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,AgeGroup,CreditScoreBand,TenureGroup,BalanceSegment,ActivityStatus,CardStatus,ChurnStatus,HighValueCustomer,BalanceAtRisk,ChurnRiskScore
15634602,619,France,Female,42,2,0.0,1,1,1,101348.88,1,30-45,Medium,New,Zero-balance,Active,Has credit card,Churned,False,0.0,0.55848395479473
15647311,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,30-45,Medium,New,Low-balance,Active,No credit card,Retained,False,0.0,0.431255106875848
15619304,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,30-45,Low,Long-term,High-balance,Inactive,Has credit card,Churned,True,159660.8,0.9181132932610742
15701354,699,France,Female,39,1,0.0,2,0,0,93826.63,0,30-45,Medium,New,Zero-balance,Inactive,No credit card,Retained,False,0.0,0.21322167220388435
15737888,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,30-45,High,New,High-balance,Active,Has credit card,Retained,True,0.0,0.385441220121186
15574012,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,30-45,Medium,Long-term,High-balance,Inactive,Has credit card,Churned,True,113755.78,0.5039773178890029
15592531,822,France,Male,50,7,0.0,2,1,1,10062.8,0,46-60,High,Long-term,Zero-balance,Active,Has credit card,Retained,False,0.0,0.2647761760406666
15656148,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,<30,Low,Mid-term,High-balance,Inactive,Has credit card,Churned,True,115046.74,0.8416291368554777
15792365,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,30-45,Low,Mid-term,High-balance,Active,No credit card,Retained,True,0.0,0.4279813807376914
15592389,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,<30,Medium,New,High-balance,Active,Has credit card,Retained,True,0.0,0.17807269679001198
15767821,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,30-45,Low,Mid-term,High-balance,Inactive,No credit card,Retained,True,0.0,0.17790021952691795
15737173,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,<30,Low,Mid-term,Zero-balance,Inactive,Has credit card,Retained,False,0.0,0.08089241143780605
15632264,476,France,Female,34,10,0.0,2,1,0,26260.98,0,30-45,Low,Long-term,Zero-balance,Inactive,Has credit card,Retained,False,0.0,0.14943589634934562
15691483,549,France,Female,25,5,0.0,2,0,0,190857.79,0,<30,Low,Mid-term,Zero-balance,Inactive,No credit card,Retained,False,0.0,0.1380991002815801
15600882,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,30-45,Medium,Long-term,Zero-balance,Active,Has credit card,Retained,False,0.0,0.1291135487944369
15643966,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,30-45,Medium,Mid-term,High-balance,Active,No credit card,Retained,True,0.0,0.5191909302208282
15737452,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,46-60,Medium,New,High-balance,Inactive,Has credit card,Churned,True,132602.88,0.9210882999785861
15788218,549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,<30,Low,Long-term,Zero-balance,Active,Has credit card,Retained,False,0.0,0.12955636377690347
15661507,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,30-45,Medium,Mid-term,Zero-balance,Inactive,No credit card,Retained,False,0.0,0.7109761129756704
15568982,726,France,Female,24,6,0.0,2,1,1,54724.03,0,<30,Medium,Mid-term,Zero-balance,Active,Has credit card,Retained,False,0.0,0.10218203331903658
15577657,732,France,Male,41,8,0.0,2,1,1,170886.17,0,30-45,Medium,Long-term,Zero-balance,Active,Has credit card,Retained,False,0.0,0.13891740368129338
15597945,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,30-45,Medium,Long-term,Zero-balance,Inactive,Has credit card,Retained,False,0.0,0.1396745704100056
15699309,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,30-45,Low,Mid-term,Zero-balance,Inactive,Has credit card,Churned,False,0.0,0.5184658203369906
